	land use type
E1_2019_F	Forest
E1_2019_S	Forest
E1_2020_F	Forest
E1_2020_S	Forest
E1_2021_F	Forest
E1_2021_S	Forest
E1_2022_S	Forest
E2_2019_F	Forest
E2_2019_S	Forest
E2_2020_F	Forest
E2_2020_S	Forest
E2_2021_F	Forest
E2_2021_S	Forest
E2_2022_S	Forest
E3_2019_F	Forest
E3_2019_S	Forest
E3_2020_F	Forest
E3_2020_S	Forest
E3_2021_F	Forest
E3_2021_S	Forest
E3_2022_S	Forest
W1_2019_F	Park
W1_2019_S	Park
W1_2020_F	Park
W1_2020_S	Park
W1_2021_F	Park
W1_2021_S	Park
W1_2022_S	Park
W2_2019_F	Park
W2_2019_S	Park
W2_2020_F	Park
W2_2020_S	Park
W2_2021_F	Park
W2_2021_S	Park
W2_2022_S	Park
W3_2019_F	Park
W3_2019_S	Park
W3_2020_F	Park
W3_2020_S	Park
W3_2021_F	Park
W3_2021_S	Park
W3_2022_S	Park
